COORDINATE,COUNTRY/PROVINCES,DGUID,GHG EMISSIONS,SECTOR,UOM,UOM_ID,VECTOR,Year
4.119,Nova Scotia,2021A000212,-737,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973668,2018
4.119,Nova Scotia,2021A000212,-658,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973668,2019
4.119,Nova Scotia,2021A000212,-466,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973668,2013
4.119,Nova Scotia,2021A000212,312,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973668,2020
4.119,Nova Scotia,2021A000212,384,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973668,2021
4.119,Nova Scotia,2021A000212,542,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973668,2023
4.119,Nova Scotia,2021A000212,551,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973668,2022
4.2,Nova Scotia,2021A000212,9124,"Total, industries",Kilotonnes,198,v1013973553,2023
4.2,Nova Scotia,2021A000212,9827,"Total, industries",Kilotonnes,198,v1013973553,2022
4.2,Nova Scotia,2021A000212,10085,"Total, industries",Kilotonnes,198,v1013973553,2021
4.2,Nova Scotia,2021A000212,10229,"Total, industries",Kilotonnes,198,v1013973553,2020
4.2,Nova Scotia,2021A000212,11841,"Total, industries",Kilotonnes,198,v1013973553,2019
4.2,Nova Scotia,2021A000212,11941,"Total, industries",Kilotonnes,198,v1013973553,2016
4.2,Nova Scotia,2021A000212,12140,"Total, industries",Kilotonnes,198,v1013973553,2017
4.2,Nova Scotia,2021A000212,12345,"Total, industries",Kilotonnes,198,v1013973553,2015
4.2,Nova Scotia,2021A000212,12564,"Total, industries",Kilotonnes,198,v1013973553,2018
4.2,Nova Scotia,2021A000212,12889,"Total, industries",Kilotonnes,198,v1013973553,2014
4.2,Nova Scotia,2021A000212,13974,"Total, industries",Kilotonnes,198,v1013973553,2013
5.1,New Brunswick,2021A000213,15000,"Total, industries and households",Kilotonnes,198,v1013973677,2020
5.1,New Brunswick,2021A000213,15485,"Total, industries and households",Kilotonnes,198,v1013973677,2021
5.1,New Brunswick,2021A000213,15643,"Total, industries and households",Kilotonnes,198,v1013973677,2023
5.1,New Brunswick,2021A000213,16519,"Total, industries and households",Kilotonnes,198,v1013973677,2014
5.1,New Brunswick,2021A000213,16558,"Total, industries and households",Kilotonnes,198,v1013973677,2019
