REF_DATE,GEO,DGUID,Sector,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019,Manitoba,2021A000246,Wholesale trade [BS41000],Kilotonnes,198,units,0,v1013974115,8.66,289,,,,0
2020,Manitoba,2021A000246,Wholesale trade [BS41000],Kilotonnes,198,units,0,v1013974115,8.66,253,,,,0
2021,Manitoba,2021A000246,Wholesale trade [BS41000],Kilotonnes,198,units,0,v1013974115,8.66,252,,,,0
2022,Manitoba,2021A000246,Wholesale trade [BS41000],Kilotonnes,198,units,0,v1013974115,8.66,205,,,,0
2023,Manitoba,2021A000246,Wholesale trade [BS41000],Kilotonnes,198,units,0,v1013974115,8.66,199,,,,0
2013,Manitoba,2021A000246,Retail trade [BS4A000],Kilotonnes,198,units,0,v1013974116,8.67,204,,,,0
2014,Manitoba,2021A000246,Retail trade [BS4A000],Kilotonnes,198,units,0,v1013974116,8.67,,..,,,0
2015,Manitoba,2021A000246,Retail trade [BS4A000],Kilotonnes,198,units,0,v1013974116,8.67,,..,,,0
2016,Manitoba,2021A000246,Retail trade [BS4A000],Kilotonnes,198,units,0,v1013974116,8.67,,..,,,0
2017,Manitoba,2021A000246,Retail trade [BS4A000],Kilotonnes,198,units,0,v1013974116,8.67,,..,,,0
2018,Manitoba,2021A000246,Retail trade [BS4A000],Kilotonnes,198,units,0,v1013974116,8.67,,..,,,0
2019,Manitoba,2021A000246,Retail trade [BS4A000],Kilotonnes,198,units,0,v1013974116,8.67,,..,,,0
2020,Manitoba,2021A000246,Retail trade [BS4A000],Kilotonnes,198,units,0,v1013974116,8.67,,..,,,0
2021,Manitoba,2021A000246,Retail trade [BS4A000],Kilotonnes,198,units,0,v1013974116,8.67,,..,,,0
2022,Manitoba,2021A000246,Retail trade [BS4A000],Kilotonnes,198,units,0,v1013974116,8.67,,..,,,0
2014,Manitoba,2021A000246,Retail trade (except cannabis) [BS4AA00],Kilotonnes,198,units,0,v1110740814,8.131,205,,,,0
2015,Manitoba,2021A000246,Retail trade (except cannabis) [BS4AA00],Kilotonnes,198,units,0,v1110740814,8.131,171,,,,0
2016,Manitoba,2021A000246,Retail trade (except cannabis) [BS4AA00],Kilotonnes,198,units,0,v1110740814,8.131,204,,,,0
2017,Manitoba,2021A000246,Retail trade (except cannabis) [BS4AA00],Kilotonnes,198,units,0,v1110740814,8.131,232,,,,0
2018,Manitoba,2021A000246,Retail trade (except cannabis) [BS4AA00],Kilotonnes,198,units,0,v1110740814,8.131,252,,,,0
2019,Manitoba,2021A000246,Retail trade (except cannabis) [BS4AA00],Kilotonnes,198,units,0,v1110740814,8.131,253,,,,0
2020,Manitoba,2021A000246,Retail trade (except cannabis) [BS4AA00],Kilotonnes,198,units,0,v1110740814,8.131,213,,,,0
2021,Manitoba,2021A000246,Retail trade (except cannabis) [BS4AA00],Kilotonnes,198,units,0,v1110740814,8.131,225,,,,0
2022,Manitoba,2021A000246,Retail trade (except cannabis) [BS4AA00],Kilotonnes,198,units,0,v1110740814,8.131,195,,,,0
2023,Manitoba,2021A000246,Retail trade (except cannabis) [BS4AA00],Kilotonnes,198,units,0,v1110740814,8.131,186,,,,0
2014,Manitoba,2021A000246,Cannabis stores (licensed) [BS453BL],Kilotonnes,198,units,0,v1110740815,8.132,0,,,,0
2015,Manitoba,2021A000246,Cannabis stores (licensed) [BS453BL],Kilotonnes,198,units,0,v1110740815,8.132,0,,,,0
2016,Manitoba,2021A000246,Cannabis stores (licensed) [BS453BL],Kilotonnes,198,units,0,v1110740815,8.132,0,,,,0
2017,Manitoba,2021A000246,Cannabis stores (licensed) [BS453BL],Kilotonnes,198,units,0,v1110740815,8.132,0,,,,0
2018,Manitoba,2021A000246,Cannabis stores (licensed) [BS453BL],Kilotonnes,198,units,0,v1110740815,8.132,,0s,,,0
2019,Manitoba,2021A000246,Cannabis stores (licensed) [BS453BL],Kilotonnes,198,units,0,v1110740815,8.132,1,,,,0
2020,Manitoba,2021A000246,Cannabis stores (licensed) [BS453BL],Kilotonnes,198,units,0,v1110740815,8.132,2,,,,0
2021,Manitoba,2021A000246,Cannabis stores (licensed) [BS453BL],Kilotonnes,198,units,0,v1110740815,8.132,2,,,,0
2022,Manitoba,2021A000246,Cannabis stores (licensed) [BS453BL],Kilotonnes,198,units,0,v1110740815,8.132,,..,,,0
2022,Manitoba,2021A000246,Cannabis retailers (licensed) [BS459BL],Kilotonnes,198,units,0,v1796472281,8.137,2,,,,0
2023,Manitoba,2021A000246,Cannabis retailers (licensed) [BS459BL],Kilotonnes,198,units,0,v1796472281,8.137,2,,,,0
2014,Manitoba,2021A000246,Cannabis stores (unlicensed) [BS453BU],Kilotonnes,198,units,0,v1110740816,8.133,1,,,,0
2015,Manitoba,2021A000246,Cannabis stores (unlicensed) [BS453BU],Kilotonnes,198,units,0,v1110740816,8.133,1,,,,0
2016,Manitoba,2021A000246,Cannabis stores (unlicensed) [BS453BU],Kilotonnes,198,units,0,v1110740816,8.133,1,,,,0
2017,Manitoba,2021A000246,Cannabis stores (unlicensed) [BS453BU],Kilotonnes,198,units,0,v1110740816,8.133,2,,,,0
