station_id,Month,Day,Baseline Mean Temp (°C)
8202592,1,10,-3.6655172413793102
8202592,1,11,-3.3793103448275863
8202592,1,12,-3.5620689655172413
8202592,1,13,-1.6133333333333333
8202592,1,14,-4.010344827586207
8202592,1,15,-5.11
8202592,1,16,-4.593333333333334
8202592,1,17,-4.5233333333333325
8202592,1,18,-4.774193548387097
8202592,1,19,-3.4000000000000004
8202592,1,20,-3.4266666666666667
8202592,1,21,-6.354838709677419
8202592,1,22,-7.83225806451613
8202592,1,23,-5.925806451612903
8202592,1,24,-3.870967741935484
8202592,1,25,-4.135483870967741
8202592,1,26,-5.412903225806452
8202592,1,27,-5.290322580645161
8202592,1,28,-4.964516129032258
8202592,1,29,-5.239999999999999
8202592,1,30,-5.609999999999999
8202592,1,31,-5.929032258064517
8202592,2,1,-4.948387096774193
8202592,2,2,-4.409677419354838
8202592,2,3,-4.343333333333334
8202592,2,4,-4.026666666666666
8202592,2,5,-4.751612903225806
8202592,2,6,-5.670967741935484
8202592,2,7,-5.141935483870968
8202592,2,8,-5.080645161290323
8202592,2,9,-5.683870967741935
8202592,2,10,-4.032258064516129
8202592,2,11,-5.04
8202592,2,12,-4.748275862068965
8202592,2,13,-5.503333333333333
8202592,2,14,-5.719354838709678
8202592,2,15,-4.554838709677419
8202592,2,16,-2.9451612903225803
8202592,2,17,-3.0451612903225804
8202592,2,18,-4.016666666666667
8202592,2,19,-2.9000000000000004
8202592,2,20,-3.2806451612903227
8202592,2,21,-2.829032258064516
8202592,2,22,-2.835483870967742
8202592,2,23,-2.706451612903226
8202592,2,24,-2.2870967741935484
8202592,2,25,-2.396774193548387
8202592,2,26,-4.256666666666667
8202592,2,27,-2.9451612903225803
8202592,2,28,-1.974193548387097
8202592,2,29,-1.0250000000000001
8202592,3,1,-3.079310344827586
8202592,3,2,-1.15
8202592,3,3,-2.466666666666667
8202592,3,4,-3.38
8202592,3,5,-3.0689655172413794
8202592,3,6,-1.9133333333333333
8202592,3,7,-1.7533333333333334
8202592,3,8,-0.8967741935483872
8202592,3,9,-0.7935483870967742
8202592,3,10,-1.4064516129032258
8202592,3,11,-0.5161290322580645
8202592,3,12,0.3870967741935483
8202592,3,13,-0.5612903225806452
8202592,3,14,-0.6999999999999998
8202592,3,15,0.7709677419354838
8202592,3,16,-0.2967741935483871
8202592,3,17,-0.5645161290322581
8202592,3,18,-0.0774193548387098
8202592,3,19,-1.4838709677419355
8202592,3,20,0.6645161290322581
8202592,3,21,1.49
8202592,3,22,1.4870967741935484
8202592,3,23,0.012903225806451606
8202592,3,24,-0.2699999999999999
8202592,3,25,0.8733333333333333
8202592,3,26,1.3566666666666667
8202592,3,27,1.8266666666666667
8202592,3,28,2.3677419354838714
8202592,3,29,2.8870967741935485
8202592,3,30,2.9838709677419355
8202592,3,31,4.125806451612903
8202592,4,1,3.670967741935484
