Climate ID,Date,Monthly_Max_Gust_kmh,Monthly_Mean_Gust_Direction_10sdeg
8100989,2014-05-01,54.0,13.24
8100989,2014-06-01,46.0,18.5
8100989,2014-07-01,74.0,20.9
8100989,2014-08-01,52.0,17.69
8100989,2014-09-01,61.0,23.26
8100989,2014-10-01,54.0,16.94
8100989,2014-11-01,61.0,21.52
8100989,2014-12-01,78.0,19.75
8100989,2015-01-01,72.0,24.91
8100989,2015-02-01,63.0,21.58
8100989,2015-03-01,67.0,24.68
8100989,2015-04-01,65.0,19.68
8100989,2015-05-01,61.0,24.0
8100989,2015-06-01,48.0,21.53
8100989,2015-07-01,52.0,20.77
8100989,2015-08-01,54.0,21.22
8100989,2015-09-01,80.0,19.0
8100989,2015-10-01,69.0,22.48
8100989,2015-11-01,59.0,25.53
8100989,2015-12-01,65.0,22.23
8100989,2016-01-01,67.0,22.38
8100989,2016-02-01,65.0,22.58
8100989,2016-03-01,65.0,21.95
8100989,2016-04-01,65.0,20.86
8100989,2016-05-01,59.0,15.65
8100989,2016-06-01,59.0,18.86
8100989,2016-07-01,85.0,20.2
8100989,2016-08-01,61.0,22.5
8100989,2016-09-01,56.0,21.41
8100989,2016-10-01,56.0,20.25
8100989,2016-11-01,56.0,21.14
8100989,2016-12-01,82.0,24.36
8100989,2017-01-01,67.0,21.23
8100989,2017-02-01,70.0,23.07
8100989,2017-03-01,82.0,25.35
8100989,2017-04-01,46.0,20.46
8100989,2017-05-01,59.0,17.11
8100989,2017-06-01,70.0,21.26
8100989,2017-07-01,59.0,22.78
8100989,2017-08-01,61.0,23.43
8100989,2017-09-01,50.0,21.73
8100989,2017-10-01,61.0,23.42
8100989,2017-11-01,63.0,24.15
8100989,2017-12-01,63.0,25.0
8100989,2018-01-01,85.0,21.94
8100989,2018-02-01,54.0,24.86
8100989,2018-03-01,91.0,11.42
8100989,2018-04-01,57.0,22.32
8100989,2018-05-01,76.0,20.67
8100989,2018-06-01,57.0,19.64
8100989,2018-07-01,60.0,22.74
8100989,2018-08-01,49.0,22.43
8100989,2018-09-01,65.0,22.0
8100989,2018-10-01,70.0,20.56
8100989,2018-11-01,104.0,21.8
8100989,2018-12-01,55.0,25.94
8100989,2019-01-01,70.0,23.85
8100989,2019-02-01,63.0,25.47
8100989,2019-03-01,64.0,21.68
8100989,2019-04-01,81.0,19.42
8100989,2019-05-01,66.0,16.19
8100989,2019-06-01,57.0,20.25
8100989,2019-07-01,52.0,24.11
8100989,2019-08-01,47.0,23.9
8100989,2019-09-01,58.0,22.64
8100989,2019-10-01,71.0,20.76
8100989,2019-11-01,82.0,21.29
8100989,2019-12-01,72.0,23.36
8100989,2020-01-01,50.0,23.07
8100989,2020-02-01,79.0,22.95
8100989,2020-03-01,65.0,20.55
8100989,2020-04-01,75.0,19.24
8100989,2020-05-01,57.0,20.07
8100989,2020-06-01,56.0,17.92
8100989,2020-07-01,66.0,17.33
8100989,2020-08-01,60.0,20.18
8100989,2020-09-01,73.0,22.43
8100989,2020-10-01,67.0,26.21
8100989,2020-11-01,64.0,23.9
8100989,2020-12-01,64.0,21.48
8100989,2021-01-01,53.0,22.57
8100989,2021-02-01,81.0,24.25
8100989,2021-03-01,82.0,23.69
